,,demturnout,demturnout,demturnout,dem,dem,dem,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
Georgia,STEWART COUNTY,0.25291531255974004,0.22944048066090875,0.20020325203252032,1323,1222,1182,5231,5326,5904
Georgia,SUMTER COUNTY,0.26855674446035893,0.23715415019762845,0.2765957446808511,6375,5520,6318,23738,23276,22842
Georgia,TALBOT COUNTY,0.42336448598130844,0.3832312404287902,0.4076359429232549,2265,2002,2114,5350,5224,5186
Georgia,TALIAFERRO COUNTY,0.4632192279679534,0.41008276899924756,0.43896713615023475,636,545,561,1373,1329,1278
Georgia,TATTNALL COUNTY,0.09470321002446208,0.083577785511858,0.10239976151438367,1897,1681,2061,20031,20113,20127
Georgia,TAYLOR COUNTY,0.24489795918367346,0.19889502762430938,0.21597633136094674,1572,1296,1387,6419,6516,6422
Georgia,TELFAIR COUNTY,0.1354901666416454,0.09957530714394054,0.11165340141162337,1805,1313,1487,13322,13186,13318
Georgia,TERRELL COUNTY,0.3640005723279439,0.3335294983080771,0.3617539585870889,2544,2267,2376,6989,6797,6568
Georgia,THOMAS COUNTY,0.22796461231419976,0.20942439081605724,0.2566309088765767,7653,7142,8708,33571,34103,33932
Georgia,TIFT COUNTY,0.15134292488064693,0.14272112417098956,0.17392156862745098,4660,4347,5322,30791,30458,30600
Georgia,TOOMBS COUNTY,0.14005916556156278,0.11793190416141236,0.1485994539387198,2746,2338,2939,19606,19825,19778
Georgia,TOWNS COUNTY,0.1411464685663599,0.12223456914839882,0.1475487862922418,1273,1210,1550,9019,9899,10505
Georgia,TREUTLEN COUNTY,0.20817987982167085,0.16872186337835193,0.17864514918371177,1074,862,952,5159,5109,5329
Georgia,TROUP COUNTY,0.208971488577599,0.18514000343098946,0.21862195283143565,10547,9713,11578,50471,52463,52959
