,,turnout,turnout,turnout,winner,winner,winner,AGE18PLUS_TOT,AGE18PLUS_TOT,AGE18PLUS_TOT
year,,2012,2016,2020,2012,2016,2020,2012,2016,2020
Georgia,TALIAFERRO COUNTY,0.7013838310269482,0.6749435665914221,0.7261345852895149,blue,blue,blue,1373,1329,1278
Georgia,TATTNALL COUNTY,0.3328341071339424,0.3432108586486352,0.40656829134992795,red,red,red,20031,20113,20127
Georgia,TAYLOR COUNTY,0.5511761956691074,0.5230202578268877,0.5977888508252881,red,red,red,6419,6516,6422
Georgia,TELFAIR COUNTY,0.32547665515688334,0.2878810860003034,0.32534915152425287,red,red,red,13322,13186,13318
Georgia,TERRELL COUNTY,0.6292745743310917,0.6163013094012064,0.6723507917174177,blue,blue,blue,6989,6797,6568
Georgia,THOMAS COUNTY,0.5645646540168597,0.5513297950326951,0.6440233407992455,red,red,red,33571,34103,33932
Georgia,TIFT COUNTY,0.45230749244909224,0.46683958237573053,0.532124183006536,red,red,red,30791,30458,30600
Georgia,TOOMBS COUNTY,0.47658879934713866,0.4609331651954603,0.5518252603903326,red,red,red,19606,19825,19778
Georgia,TOWNS COUNTY,0.6886572790775031,0.6833013435700576,0.7595430747263208,red,red,red,9019,9899,10505
Georgia,TREUTLEN COUNTY,0.5330490405117271,0.5290663534938345,0.5774066428973541,red,red,red,5159,5109,5329
Georgia,TROUP COUNTY,0.5148699253036397,0.4977031431675657,0.5674011971525142,red,red,red,50471,52463,52959
Georgia,TURNER COUNTY,0.5545341227796822,0.5659560293137909,0.6289600265383978,red,red,red,6418,6004,6029
Georgia,TWIGGS COUNTY,0.6070499855533082,0.6112031320584249,0.6776456236657518,blue,red,red,6922,6641,6558
Georgia,UNION COUNTY,0.6286314117113028,0.6365699208443272,0.7503496166272846,red,red,red,17624,18950,20737
Georgia,UPSON COUNTY,0.5498974709501026,0.5368751841304135,0.633405320506528,red,red,red,20482,20366,20374
Georgia,WALKER COUNTY,0.41494059011919876,0.44933788498330646,0.5361852920761334,red,red,red,52769,53314,54746
Georgia,WALTON COUNTY,0.6003128291888786,0.6065275707898659,0.7146953505287305,red,red,red,62654,67100,71492
